ISO3,All_Species_Table,FAO_Region,FAO_Country,CR_EN_VU_AMPHIBIA_Singleton,CR_EN_VU_AVES_Singleton,CR_EN_VU_MAMMALIA_Singleton,CR_EN_VU_REPTILIA_Singleton,CR_EN_VU_PLANTAE_Singleton,CR_EN_VU_CHORDATA_Singleton,CR_EN_VU_TOTAL_Singleton
AFG,Afghanistan,Asia,Afghanistan,0,0,0,0,0,0,0
ALB,Albania,Europe,Albania,0,0,0,0,0,0,0
DZA,Algeria,Africa,Algeria,0,1,0,1,4,2,6
ASM,AmericanSamoa,Oceania,American Samoa,0,0,0,0,0,0,0
AND,Andorra,Europe,Andorra,0,0,0,0,0,0,0
AGO,Angola,Africa,Angola,0,6,0,0,0,6,6
AIA,Anguilla,America,Anguilla,0,0,0,2,1,2,3
ATA,Antarctica,NA,NA,0,0,0,0,0,0,0
ATG,AntiguaandBarbuda,America,Antigua and Barbuda,0,0,0,1,0,1,1
ARG,Argentina,America,Argentina,15,0,13,2,25,30,55
ARM,Armenia,Asia,Armenia,0,0,2,0,53,2,55
ABW,Aruba,America,Aruba,0,0,0,0,1,0,1
AUS,Australia,Oceania,Australia,43,25,45,30,76,143,219
AUT,Austria,Europe,Austria,0,0,1,0,3,1,4
AZE,Azerbaijan,Asia,Azerbaijan,1,0,0,0,23,1,24
BHS,Bahamas,America,Bahamas,0,1,1,4,1,6,7
BHR,Bahrain,Asia,Bahrain,0,0,0,0,0,0,0
BGD,Bangladesh,Asia,Bangladesh,0,0,0,0,1,0,1
BRB,Barbados,America,Barbados,0,0,0,1,0,1,1
BLR,Belarus,Europe,Belarus,0,0,0,0,0,0,0
BEL,Belgium,Europe,Belgium,0,0,0,0,0,0,0
BLZ,Belize,America,Belize,0,0,0,1,3,1,4
BEN,Benin,Africa,Benin,0,0,0,0,0,0,0
BMU,Bermuda,America,Bermuda,0,0,0,1,7,1,8
BTN,Bhutan,Asia,Bhutan,0,0,0,0,1,0,1
BOL,BoliviaPlurinationalStatesof,America,Bolivia (Plurinational State of),24,7,4,0,47,35,82
BIH,BosniaandHerzegovina,Europe,Bosnia and Herzegovina,0,0,0,0,0,0,0
BWA,Botswana,Africa,Botswana,0,0,0,0,0,0,0
BRA,Brazil,America,Brazil,26,89,53,16,442,184,626
IOT,BritishIndianOceanTerritory,America,British Virgin Islands,0,0,0,0,0,0,0
BRN,BruneiDarussalam,Asia,Brunei Darussalam,0,0,0,0,4,0,4
BGR,Bulgaria,Europe,Bulgaria,0,0,0,0,0,0,0
BFA,BurkinaFaso,Africa,Burkina Faso,0,0,0,0,0,0,0
BDI,Burundi,Africa,Burundi,0,0,0,0,2,0,2
KHM,Cambodia,Africa,Cambodia,1,0,0,1,0,2,2
CMR,Cameroon,Asia,Cameroon,41,6,14,1,122,62,184
CAN,Canada,Africa,Canada,0,0,1,0,0,1,1
CPV,CapeVerde,America,Cabo Verde,0,2,0,4,0,6,6
CYM,CaymanIslands,America,Cayman Islands,0,0,0,1,16,1,17
CAF,CentralAfricanRepublic,Africa,Central African Republic,0,0,0,0,0,0,0
TCD,Chad,Africa,Chad,0,0,0,0,0,0,0
CHL,Chile,America,Chile,14,2,4,0,66,20,86
HKG,HongKong,Asia,"China, Hong Kong SAR",2,0,0,1,0,3,3
MAC,Macao,Asia,"China, Macao SAR",0,0,0,0,0,0,0
CHN,China,Asia,"China, mainland",75,18,15,18,407,126,533
TWN,TaiwanProvinceofChina,Asia,"China, Taiwan Province of",8,1,0,1,62,10,72
COL,Colombia,America,Colombia,150,49,13,8,168,220,388
COM,Comoros,Africa,Comoros,0,7,2,0,5,9,14
COG,Congo,Africa,Congo,0,0,0,0,0,0,0
COK,CookIslands,Oceania,Cook Islands,0,5,0,1,10,6,16
CRI,CostaRica,America,Costa Rica,26,5,0,2,46,33,79
CIV,CtedIvoire,Africa,CŽte d'Ivoire,4,0,0,0,15,4,19
HRV,Croatia,Europe,Croatia,0,0,0,0,0,0,0
CUB,Cuba,America,Cuba,49,9,9,9,156,76,232
CYP,Cyprus,Asia,Cyprus,0,0,0,1,15,1,16
CZE,CzechRepublic,Europe,Czech Republic,0,0,0,0,1,0,1
PRK,KoreaDemocraticPeoplesRepublicof,Asia,Democratic People's Republic of Korea,0,0,0,0,0,0,0
COD,CongoTheDemocraticRepublicofthe,Africa,Democratic Republic of the Congo,6,9,5,0,39,20,59
DNK,Denmark,Europe,Denmark,0,0,0,0,0,0,0
DJI,Djibouti,Africa,Djibouti,0,1,0,0,0,1,1
DMA,Dominica,America,Dominica,1,2,0,0,2,3,5
DOM,DominicanRepublic,America,Dominican Republic,9,3,0,2,11,14,25
ECU,Ecuador,America,Ecuador,90,15,12,16,1750,133,1883
EGY,Egypt,Africa,Egypt,0,0,0,0,1,0,1
